generator,difficulty,n_judges,pass_rate,mean_score
DeepSeekMath-7B-Instruct,5.0,3,0.26556776556776557,0.6306776556776557
DeepSeekMath-7B-Instruct,5.5,3,0.2673992673992674,0.580952380952381
DeepSeekMath-7B-Instruct,6.0,3,0.6190476190476191,0.7248809523809524
DeepSeekMath-7B-Instruct,6.5,3,0.21428571428571427,0.5245238095238095
DeepSeekMath-7B-Instruct,7.0,3,0.09523809523809523,0.44428571428571434
DeepSeekMath-7B-Instruct,7.5,3,0.0,0.5866666666666667
DeepSeekMath-7B-Instruct,8.0,3,0.16666666666666666,0.5064285714285715
DeepSeekMath-7B-Instruct,8.5,3,0.13333333333333333,0.222
DeepSeekMath-7B-Instruct,9.0,3,0.16666666666666666,0.5114285714285715
DeepSeekMath-7B-Instruct,9.5,3,0.16666666666666666,0.3676190476190477
DeepSeekMath-7B-Instruct,10.0,3,0.5238095238095238,0.6890018315018315
DeepSeekMath-7B-RL,5.0,3,0.30586080586080583,0.6505311355311355
DeepSeekMath-7B-RL,5.5,3,0.47222222222222227,0.6369047619047619
DeepSeekMath-7B-RL,6.0,3,0.5952380952380952,0.7363095238095237
DeepSeekMath-7B-RL,6.5,3,0.3333333333333333,0.6166666666666667
DeepSeekMath-7B-RL,7.0,3,0.2380952380952381,0.5576190476190476
DeepSeekMath-7B-RL,7.5,3,0.3333333333333333,0.5033333333333333
DeepSeekMath-7B-RL,8.0,3,0.43772893772893773,0.6783333333333333
DeepSeekMath-7B-RL,8.5,3,0.19999999999999998,0.438
DeepSeekMath-7B-RL,9.0,3,0.2619047619047619,0.5505494505494506
DeepSeekMath-7B-RL,9.5,3,0.3333333333333333,0.5062337662337663
DeepSeekMath-7B-RL,10.0,3,0.6904761904761906,0.7457142857142857
Gemma4-E4B (non-thinking),5.0,3,0.8260073260073261,0.8816666666666667
Gemma4-E4B (non-thinking),5.5,3,0.9523809523809524,0.9198809523809524
Gemma4-E4B (non-thinking),6.0,3,0.9523809523809524,0.9267857142857142
Gemma4-E4B (non-thinking),6.5,3,0.8571428571428571,0.8695238095238095
