judged_run,generator,category,n_pass,pass_rate,n_score,mean_score
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Algebra,23,0.13043478260869565,23,0.46413043478260874
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Calculus,24,0.125,24,0.5529166666666666
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Applied Mathematics,16,0.3125,16,0.6684375
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Geometry,18,0.2222222222222222,18,0.5561111111111111
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Discrete Mathematics,24,0.08333333333333333,24,0.44458333333333333
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Linear Algebra,12,0.0,12,0.6333333333333334
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Number Theory,14,0.07142857142857142,14,0.5071428571428572
deepseekmath_7b_instruct,DeepSeekMath-7B-Instruct,Other,1,0.0,1,0.15
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Algebra,23,0.21739130434782608,23,0.5541304347826087
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Calculus,24,0.16666666666666666,24,0.5875
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Applied Mathematics,16,0.3125,16,0.645625
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Geometry,18,0.3888888888888889,18,0.7638888888888888
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Discrete Mathematics,24,0.20833333333333334,24,0.5258333333333334
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Linear Algebra,12,0.08333333333333333,12,0.7308333333333333
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Number Theory,14,0.14285714285714285,14,0.6235714285714286
deepseekmath_7b_rl,DeepSeekMath-7B-RL,Other,1,0.0,1,0.65
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Algebra,23,0.8695652173913043,23,0.9147826086956521
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Calculus,24,0.9166666666666666,24,0.9014583333333333
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Applied Mathematics,16,0.8125,16,0.9309375
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Geometry,18,0.7777777777777778,18,0.9452777777777778
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Discrete Mathematics,24,0.7916666666666666,24,0.9208333333333333
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Linear Algebra,12,1.0,12,0.9433333333333334
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Number Theory,14,0.8571428571428571,14,0.9142857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Other,1,0.0,1,0.55
gemma4_e4b_thinking,Gemma4-E4B (thinking),Algebra,23,0.043478260869565216,23,0.0
