difficulty,n_pass,pass_rate,n_score,mean_score
5.0,95,0.49473684210526314,94,0.6527127659574468
5.5,94,0.5531914893617021,98,0.6713775510204082
6.0,97,0.6701030927835051,97,0.7177319587628866
6.5,97,0.4742268041237113,97,0.6078350515463917
7.0,95,0.35789473684210527,98,0.5478571428571428
7.5,6,0.5,7,0.6357142857142858
8.0,95,0.4842105263157895,98,0.6173979591836735
8.5,35,0.22857142857142856,35,0.4281428571428571
9.0,98,0.42857142857142855,96,0.5521874999999999
9.5,98,0.4387755102040816,95,0.5267368421052632
10.0,97,0.6082474226804123,96,0.6749999999999999
