generator,difficulty,n_judges,pass_rate,mean_score
Gemma4-E4B (non-thinking),5.0,4,0.8159340659340659,0.8898214285714285
Gemma4-E4B (non-thinking),5.5,4,0.9285714285714286,0.9313392857142857
Gemma4-E4B (non-thinking),6.0,4,0.9285714285714286,0.9279464285714285
Gemma4-E4B (non-thinking),6.5,4,0.8392857142857142,0.871875
Gemma4-E4B (non-thinking),7.0,4,0.7857142857142858,0.8021428571428572
Gemma4-E4B (non-thinking),7.5,4,1.0,0.8675
Gemma4-E4B (non-thinking),8.0,4,0.8214285714285714,0.8864285714285715
Gemma4-E4B (non-thinking),8.5,4,0.45000000000000007,0.621
Gemma4-E4B (non-thinking),9.0,4,0.7857142857142857,0.8123214285714286
Gemma4-E4B (non-thinking),9.5,4,0.7499999999999999,0.7819642857142857
Gemma4-E4B (non-thinking),10.0,4,0.875,0.8849107142857142
Gemma4-E4B (thinking),5.0,4,0.8273809523809523,0.9133630952380952
Gemma4-E4B (thinking),5.5,4,0.9464285714285714,0.9650206043956044
Gemma4-E4B (thinking),6.0,4,0.9285714285714286,0.9324107142857143
Gemma4-E4B (thinking),6.5,4,0.907967032967033,0.9259821428571429
Gemma4-E4B (thinking),7.0,4,0.7662337662337663,0.8533516483516483
Gemma4-E4B (thinking),7.5,4,1.0,0.84375
Gemma4-E4B (thinking),8.0,4,0.8571428571428571,0.9023214285714285
Gemma4-E4B (thinking),8.5,4,0.5499999999999999,0.704
Gemma4-E4B (thinking),9.0,4,0.8541666666666666,0.8632142857142857
Gemma4-E4B (thinking),9.5,4,0.8214285714285714,0.8134409340659341
Gemma4-E4B (thinking),10.0,4,0.9285714285714286,0.9152678571428571
Qwen3-8B (non-thinking),5.0,4,0.875,0.8966964285714286
Qwen3-8B (non-thinking),5.5,4,0.7321428571428571,0.9032142857142857
Qwen3-8B (non-thinking),6.0,4,0.9464285714285714,0.9465178571428572
Qwen3-8B (non-thinking),6.5,4,0.6785714285714286,0.8505357142857142
Qwen3-8B (non-thinking),7.0,4,0.6016483516483516,0.7801785714285714
Qwen3-8B (non-thinking),7.5,4,0.75,0.9775
Qwen3-8B (non-thinking),8.0,4,0.8035714285714286,0.8625892857142857
Qwen3-8B (non-thinking),8.5,4,0.2,0.5345
Qwen3-8B (non-thinking),9.0,4,0.7142857142857143,0.7863392857142857
Qwen3-8B (non-thinking),9.5,4,0.6964285714285714,0.7458928571428571
Qwen3-8B (non-thinking),10.0,4,0.8214285714285714,0.8785714285714286
Qwen3-8B (thinking),5.0,4,0.7232142857142858,0.9005357142857143
Qwen3-8B (thinking),5.5,4,0.8511904761904762,0.932782738095238
Qwen3-8B (thinking),6.0,4,0.9392857142857143,0.9502857142857143
Qwen3-8B (thinking),6.5,4,0.7996031746031746,0.9354563492063492
Qwen3-8B (thinking),7.0,4,0.5535714285714286,0.8360119047619048
Qwen3-8B (thinking),7.5,4,0.75,0.9199999999999999
Qwen3-8B (thinking),8.0,4,0.7857142857142857,0.8339285714285714
Qwen3-8B (thinking),8.5,4,0.44999999999999996,0.7362500000000001
Qwen3-8B (thinking),9.0,4,0.638888888888889,0.7998412698412698
Qwen3-8B (thinking),9.5,4,0.7285714285714285,0.761
Qwen3-8B (thinking),10.0,4,0.9415584415584415,0.9101623376623377
