difficulty,n_pass,pass_rate,n_score,mean_score
5.0,56,0.7678571428571429,56,0.9379464285714285
5.5,56,0.8214285714285714,56,0.9584821428571428
6.0,56,0.9464285714285714,56,0.9503571428571428
6.5,56,0.7678571428571429,56,0.9294642857142856
7.0,56,0.6071428571428571,56,0.8801785714285714
7.5,4,1.0,4,0.95375
8.0,56,0.7321428571428571,56,0.9170535714285714
8.5,20,0.35,20,0.728
9.0,56,0.6607142857142857,56,0.8691964285714285
9.5,56,0.6964285714285714,56,0.8266071428571429
10.0,56,0.8392857142857143,56,0.9351785714285714
