judged_run,generator,category,n_pass,pass_rate,n_score,mean_score
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Algebra,23,0.8695652173913043,23,0.9147826086956521
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Calculus,24,0.9166666666666666,24,0.9014583333333333
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Applied Mathematics,16,0.8125,16,0.9309375
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Geometry,18,0.7777777777777778,18,0.9452777777777778
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Discrete Mathematics,24,0.7916666666666666,24,0.9208333333333333
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Linear Algebra,12,1.0,12,0.9433333333333334
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Number Theory,14,0.8571428571428571,14,0.9142857142857143
gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),Other,1,0.0,1,0.55
gemma4_e4b_thinking,Gemma4-E4B (thinking),Algebra,23,0.9565217391304348,23,0.9354347826086957
gemma4_e4b_thinking,Gemma4-E4B (thinking),Calculus,24,0.75,24,0.91
gemma4_e4b_thinking,Gemma4-E4B (thinking),Applied Mathematics,16,0.875,16,0.953125
gemma4_e4b_thinking,Gemma4-E4B (thinking),Geometry,18,0.7222222222222222,18,0.9233333333333333
gemma4_e4b_thinking,Gemma4-E4B (thinking),Discrete Mathematics,24,1.0,24,0.9422916666666666
gemma4_e4b_thinking,Gemma4-E4B (thinking),Linear Algebra,12,0.9166666666666666,12,0.9316666666666666
gemma4_e4b_thinking,Gemma4-E4B (thinking),Number Theory,14,0.7857142857142857,14,0.9389285714285714
gemma4_e4b_thinking,Gemma4-E4B (thinking),Other,1,1.0,1,0.85
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Algebra,23,0.5652173913043478,23,0.8856521739130435
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Calculus,24,0.5416666666666666,24,0.8289583333333334
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Applied Mathematics,16,0.75,16,0.94375
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Geometry,18,0.5555555555555556,18,0.9305555555555556
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Discrete Mathematics,24,0.7916666666666666,24,0.8983333333333333
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Linear Algebra,12,0.6666666666666666,12,0.9266666666666666
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Number Theory,14,0.8571428571428571,14,0.8828571428571428
qwen3_8b_non_thinking,Qwen3-8B (non-thinking),Other,1,1.0,1,0.55
qwen3_8b_thinking,Qwen3-8B (thinking),Algebra,23,0.6086956521739131,23,0.8276086956521739
qwen3_8b_thinking,Qwen3-8B (thinking),Calculus,24,0.4583333333333333,24,0.8466666666666667
qwen3_8b_thinking,Qwen3-8B (thinking),Applied Mathematics,16,0.625,16,0.92875
qwen3_8b_thinking,Qwen3-8B (thinking),Geometry,18,0.7222222222222222,18,0.9188888888888889
qwen3_8b_thinking,Qwen3-8B (thinking),Discrete Mathematics,24,0.625,24,0.9102083333333333
qwen3_8b_thinking,Qwen3-8B (thinking),Linear Algebra,12,0.6666666666666666,12,0.9183333333333333
qwen3_8b_thinking,Qwen3-8B (thinking),Number Theory,14,0.6428571428571429,14,0.8485714285714285
qwen3_8b_thinking,Qwen3-8B (thinking),Other,1,0.0,1,0.25
