judge,judged_run,generator,n_score,mean_score,n_pass,pass_rate,peer_mean_score,score_leniency_delta,peer_pass_rate,pass_leniency_delta,judge_model,relation,generator_flagged_degenerate
gemma4_e4b_non_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.9193560606060607,132,0.8484848484848485,0.8351136363636363,0.08424242424242434,0.815039710077878,0.0334451384069705,Gemma4-E4B (non-thinking),self (identical model+mode),False
gemma4_e4b_non_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.9319318181818181,132,0.8636363636363636,0.8765830549590392,0.05534876322277893,0.8594004561746497,0.004235907461713984,Gemma4-E4B (non-thinking),same family (different mode),False
gemma4_e4b_non_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.8917045454545455,132,0.6666666666666666,0.8215277777777779,0.07017676767676762,0.767117742308582,-0.10045107564191535,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_non_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),132,0.8768939393939394,132,0.6060606060606061,0.8659366807386846,0.010957258655254876,0.8297334027295861,-0.22367279666898,Gemma4-E4B (non-thinking),different model,False
gemma4_e4b_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.8696212121212121,132,0.7348484848484849,0.8516919191919192,0.017929292929292906,0.852918497956666,-0.1180700131081811,Gemma4-E4B (thinking),same family (different mode),False
gemma4_e4b_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.9051893939393939,132,0.8106060606060606,0.8854971963731807,0.01969219756621321,0.8770772238514173,-0.06647116324535673,Gemma4-E4B (thinking),self (identical model+mode),False
gemma4_e4b_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.7899242424242424,132,0.6363636363636364,0.8554545454545455,-0.06553030303030305,0.777218752409592,-0.1408551160459557,Gemma4-E4B (thinking),different model,False
gemma4_e4b_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),96,0.8342708333333334,96,0.6875,0.8801443827588865,-0.045873549425553106,0.8025869380831213,-0.11508693808312132,Gemma4-E4B (thinking),different model,False
qwen3_8b_non_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.8319696969696969,132,0.9545454545454546,0.8642424242424243,-0.03227272727272734,0.7796861747243428,0.17485927982111182,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),132,0.8681818181818182,132,0.9772727272727273,0.8978330549590391,-0.029651236777220924,0.8215216682958619,0.15575105897686536,Qwen3-8B (non-thinking),different model,False
qwen3_8b_non_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.85,132,0.8863636363636364,0.8354292929292929,0.014570707070707067,0.6938854190762588,0.19247821728737757,Qwen3-8B (non-thinking),self (identical model+mode),False
qwen3_8b_non_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),132,0.8863636363636364,132,0.9772727272727273,0.8627801150821189,0.023583521281517417,0.7059960289922121,0.27127669828051515,Qwen3-8B (non-thinking),same family (different mode),False
qwen3_8b_thinking,gemma4_e4b_non_thinking,Gemma4-E4B (non-thinking),132,0.80375,131,0.7557251908396947,0.87364898989899,-0.06989898989899002,0.845959595959596,-0.09023440511990133,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,gemma4_e4b_thinking,Gemma4-E4B (thinking),127,0.8563779527559056,124,0.7903225806451613,0.9017676767676767,-0.045389724011771104,0.8838383838383838,-0.0935158031932225,Qwen3-8B (thinking),different model,False
qwen3_8b_thinking,qwen3_8b_non_thinking,Qwen3-8B (non-thinking),132,0.824659090909091,131,0.7786259541984732,0.8438762626262627,-0.019217171717171744,0.7297979797979798,0.04882797440049347,Qwen3-8B (thinking),same family (different mode),False
qwen3_8b_thinking,qwen3_8b_thinking,Qwen3-8B (thinking),131,0.877175572519084,131,0.8244274809160306,0.865842803030303,0.011332769488780925,0.7569444444444443,0.06748303647158627,Qwen3-8B (thinking),self (identical model+mode),False
